"stimulus","answer","AnswerKey","confidence","correct","dataID"
"13_13_0","different","same",1,0,"session-687387fdcadc8.csv"
"19_13_19","different","different",4,1,"session-687387fdcadc8.csv"
"19_13_34","different","different",3,1,"session-687387fdcadc8.csv"
"19_13_51","same","different",3,0,"session-687387fdcadc8.csv"
"19_13_78","same","different",1,0,"session-687387fdcadc8.csv"
"19_27_26","different","different",2,1,"session-687387fdcadc8.csv"
"19_13_54","different","different",3,1,"session-687387fdcadc8.csv"
"27_19_16","same","different",2,0,"session-687387fdcadc8.csv"
"27_27_30","different","same",3,0,"session-687387fdcadc8.csv"
"27_19_6","different","different",3,1,"session-687387fdcadc8.csv"
"27_27_35","different","same",2,0,"session-687387fdcadc8.csv"
"13_19_36","different","different",4,1,"session-687387fdcadc8.csv"
"27_27_20","same","same",2,1,"session-687387fdcadc8.csv"
"13_13_80","same","same",4,1,"session-687387fdcadc8.csv"
"27_19_98","different","different",2,1,"session-687387fdcadc8.csv"
"13_13_69","same","same",4,1,"session-687387fdcadc8.csv"
"19_19_89","different","same",2,0,"session-687387fdcadc8.csv"
"19_13_9","different","different",3,1,"session-687387fdcadc8.csv"
"19_19_15","different","same",2,0,"session-687387fdcadc8.csv"
"13_13_13","same","same",2,1,"session-687387fdcadc8.csv"
"13_19_38","different","different",3,1,"session-687387fdcadc8.csv"
"19_19_62","different","same",2,0,"session-687387fdcadc8.csv"
"19_19_95","same","same",4,1,"session-687387fdcadc8.csv"
"13_19_86","different","different",4,1,"session-687387fdcadc8.csv"
"13_19_25","different","different",2,1,"session-687387fdcadc8.csv"
"27_27_12","same","same",3,1,"session-687387fdcadc8.csv"
"19_19_39","same","same",3,1,"session-687387fdcadc8.csv"
"13_19_61","different","different",3,1,"session-687387fdcadc8.csv"
"27_27_34","same","same",3,1,"session-687387fdcadc8.csv"
"27_19_69","different","different",4,1,"session-687387fdcadc8.csv"
"27_27_74","same","same",2,1,"session-687387fdcadc8.csv"
"13_13_64","same","same",4,1,"session-687387fdcadc8.csv"
"19_19_96","different","same",2,0,"session-687387fdcadc8.csv"
"19_27_85","different","different",1,1,"session-687387fdcadc8.csv"
"19_27_59","different","different",3,1,"session-687387fdcadc8.csv"
"27_19_53","different","different",2,1,"session-687387fdcadc8.csv"
"19_19_25","same","same",2,1,"session-687387fdcadc8.csv"
"19_13_72","same","different",3,0,"session-687387fdcadc8.csv"
"13_19_7","different","different",4,1,"session-687387fdcadc8.csv"
"27_19_28","different","different",2,1,"session-687387fdcadc8.csv"
"13_13_86","same","same",2,1,"session-687387fdcadc8.csv"
"27_19_43","same","different",3,0,"session-687387fdcadc8.csv"
"13_13_85","same","same",3,1,"session-687387fdcadc8.csv"
"19_27_74","different","different",4,1,"session-687387fdcadc8.csv"
"13_19_79","same","different",2,0,"session-687387fdcadc8.csv"
"19_27_65","different","different",1,1,"session-687387fdcadc8.csv"
"13_19_14","different","different",2,1,"session-687387fdcadc8.csv"
"13_19_16","different","different",4,1,"session-687387fdcadc8.csv"
"19_13_42","different","different",1,1,"session-687387fdcadc8.csv"
"27_27_27","same","same",3,1,"session-687387fdcadc8.csv"
"19_13_5","different","different",2,1,"session-687387fdcadc8.csv"
"13_13_27","same","same",2,1,"session-687387fdcadc8.csv"
"19_27_1","different","different",3,1,"session-687387fdcadc8.csv"
"27_19_58","different","different",3,1,"session-687387fdcadc8.csv"
"13_19_44","same","different",2,0,"session-687387fdcadc8.csv"
"27_19_49","different","different",3,1,"session-687387fdcadc8.csv"
"13_13_71","same","same",4,1,"session-687387fdcadc8.csv"
"19_27_55","different","different",2,1,"session-687387fdcadc8.csv"
"13_19_22","different","different",4,1,"session-687387fdcadc8.csv"
"19_13_36","same","different",3,0,"session-687387fdcadc8.csv"
"19_19_42","different","same",2,0,"session-687387fdcadc8.csv"
