"trial_word","answer","AnswerKey","confidence","correct"
"gram","different","different",4,1
"tortoise","different","different",4,1
"rank","same","different",4,0
"prior","same","different",2,0
"led","different","different",2,1
"base","same","same",4,1
"knot","different","different",4,1
"pour","same","different",4,0
"lapse","different","different",4,1
"steak","same","different",4,0
"stare","same","same",2,1
"wood","different","different",4,1
"berry","different","different",4,1
"sleigh","same","same",4,1
"fowl","same","different",4,0
"made","different","different",3,1
"seed","different","different",3,1
"vale","different","different",3,1
"site","different","different",4,1
"isle","same","different",4,0
"tear","different","same",2,0
"thrown","different","same",3,0
"one","same","same",3,1
"earn","different","same",2,0
"grate","different","different",4,1
"holy","different","same",4,0
"rap","same","same",4,1
"sea","same","same",4,1
"fur","different","same",2,0
"rough","different","different",4,1
"here","different","same",3,0
"loan","different","same",3,0
"soul","same","same",4,1
"billed","different","different",4,1
"brews","different","same",4,0
"feat","same","same",2,1
"higher","different","different",4,1
"knew","different","different",3,1
"brake","same","different",2,0
"too","different","same",4,0
"plane","same","different",3,0
"chili","same","same",4,1
"ate","different","different",3,1
"bored","different","different",3,1
"meet","same","same",3,1
"seem","same","same",3,1
"eye","same","different",3,0
"buy","different","different",2,1
"idle","same","same",4,1
"groan","same","same",3,1
"toe","same","same",4,1
"know","same","same",3,1
"cell","different","different",4,1
"coarse","different","different",4,1
"ode","different","different",4,1
"blew","different","same",3,0
"some","different","different",4,1
"mined","different","same",2,0
"wave","same","same",4,1
"whether","same","same",4,1
"sale","different","same",3,0
"flour","same","different",4,0
"beech","different","different",4,1
"pi","different","different",4,1
"hour","different","same",2,0
"wreck","same","different",3,0
"lynx","same","same",4,1
"poll","same","same",3,1
"heel","different","different",4,1
"knap","same","same",4,1
"road","different","different",2,1
"fare","different","different",2,1
"medal","different","different",4,1
"cord","different","same",3,0
"weigh","same","different",4,0
"aunt","same","same",4,1
"wail","different","same",2,0
"hole","different","different",2,1
"rose","same","same",4,1
"dye","different","different",3,1
"please","different","same",3,0
"plum","same","different",3,0
"him","different","different",4,1
"sun","different","different",3,1
"bore","same","different",4,0
"write","different","same",3,0
"mane","same","same",3,1
"band","different","same",2,0
"pedal","different","different",2,1
"peak","same","same",4,1
"choose","different","same",2,0
"pear","same","same",2,1
"four","different","same",2,0
"damn","different","same",3,0
"packed","different","different",3,1
"whine","different","different",2,1
"basal","same","same",4,1
"leak","different","same",3,0
"missed","different","different",3,1
"hair","different","different",3,1
"which","different","different",3,1
"morn","same","same",4,1
"be","different","same",3,0
"row","different","different",4,1
"through","same","same",3,1
"taught","same","same",3,1
"bald","different","different",4,1
"beat","same","same",3,1
"vain","same","different",4,0
"shoo","same","same",4,1
"pier","different","same",3,0
"roll","different","different",2,1
"tail","different","same",2,0
"bowled","different","different",2,1
"where","different","different",2,1
"pride","different","same",2,0
"knight","different","different",3,1
"mussel","same","same",4,1
"tear","same","same",4,1
"pale","different","same",2,0
"thyme","different","different",2,1
"prey","same","same",2,1
"cue","different","different",2,1
"nun","different","different",4,1
"affect","same","different",3,0
"weight","different","same",2,0
"lede","different","different",4,1
"scent","same","same",4,1
